date,fx,upDown,IR2,Up/Down (2),IR5,Up/Down (5),IR10,Up/Down (10)
04/01/2000,1.636,1,1.452,1,1.058,1,0.365,1
05/01/2000,1.6426,1,1.412,0,1.028,0,0.36,0
06/01/2000,1.6474,0,1.464,1,1.118,1,0.439,1
07/01/2000,1.6393,0,1.402,0,1.076,0,0.392,0
10/01/2000,1.6374,1,1.299,0,0.968,0,0.278,0
11/01/2000,1.6475,0,1.296,0,0.947,0,0.258,0
12/01/2000,1.6466,1,1.269,0,0.929,0,0.254,0
13/01/2000,1.6472,0,1.305,1,0.949,1,0.233,0
14/01/2000,1.6313,1,1.276,0,0.912,0,0.231,0
18/01/2000,1.6379,1,1.348,1,1.007,1,0.319,1
19/01/2000,1.645,1,1.323,0,0.982,0,0.269,0
20/01/2000,1.6537,0,1.3,0,0.97,0,0.256,0
21/01/2000,1.6487,1,1.314,1,0.961,0,0.235,0
24/01/2000,1.6531,0,1.353,1,1.023,1,0.289,1
25/01/2000,1.6452,0,1.289,0,0.952,0,0.214,0
26/01/2000,1.6403,0,1.243,0,0.926,0,0.241,1
27/01/2000,1.6396,0,1.251,1,0.921,0,0.323,1
28/01/2000,1.6201,0,1.211,0,0.942,1,0.382,1
31/01/2000,1.6162,0,1.142,0,0.855,0,0.273,0
01/02/2000,1.615,0,1.093,1,0.763,1,0.172,1
02/02/2000,1.6088,0,1.05,0,0.783,1,0.235,1
03/02/2000,1.5972,0,1.106,1,0.911,1,0.263,1
04/02/2000,1.5918,1,1.062,0,0.829,0,0.293,1
07/02/2000,1.598,1,1.029,0,0.775,0,0.219,0
08/02/2000,1.6113,1,0.994,0,0.741,0,0.203,0
09/02/2000,1.6169,0,1.032,1,0.782,1,0.193,0
10/02/2000,1.6097,0,1.018,0,0.737,0,0.221,1
11/02/2000,1.5936,0,0.968,0,0.738,1,0.244,1
14/02/2000,1.588,1,0.926,0,0.682,0,0.224,0
15/02/2000,1.596,1,0.948,1,0.677,0,0.24,1
16/02/2000,1.6077,1,1.094,1,0.801,1,0.351,1
17/02/2000,1.609,0,0.996,0,0.712,0,0.287,0
18/02/2000,1.6013,1,1.012,1,0.739,1,0.318,1
22/02/2000,1.6126,0,1.009,0,0.702,0,0.27,0
23/02/2000,1.6039,0,0.97,0,0.652,0,0.229,0
24/02/2000,1.6003,0,1.045,1,0.653,1,0.186,0
25/02/2000,1.5953,1,1.179,1,0.742,1,0.217,1
28/02/2000,1.5958,0,1.078,0,0.64,0,0.141,0
29/02/2000,1.5792,1,0.189,1,-0.23,1,-0.659,1
01/03/2000,1.5854,0,0.459,1,0.06,1,-0.364,1
02/03/2000,1.5766,1,0.458,0,0.072,1,-0.338,1
03/03/2000,1.5778,0,0.452,0,0.015,0,-0.419,0
06/03/2000,1.5749,1,0.381,0,-0.058,0,-0.499,0
07/03/2000,1.5804,1,0.412,1,-0.017,1,-0.489,1
08/03/2000,1.5817,1,0.412,0,-0.008,1,-0.485,1
09/03/2000,1.5827,0,0.413,1,-0.008,0,-0.494,0
10/03/2000,1.5765,1,0.381,0,-0.027,0,-0.491,1
13/03/2000,1.5792,0,0.389,1,-0.006,1,-0.489,1
14/03/2000,1.5776,0,0.461,1,0.084,1,-0.383,1
15/03/2000,1.5732,1,0.443,0,0.076,0,-0.402,0
16/03/2000,1.5771,0,0.408,0,0.042,0,-0.474,0
17/03/2000,1.5748,0,0.408,0,0.022,0,-0.472,1
20/03/2000,1.5689,1,0.374,0,0.016,0,-0.422,1
21/03/2000,1.5717,1,0.39,1,0.046,1,-0.353,1
22/03/2000,1.5795,1,0.433,1,0.12,1,-0.244,1
23/03/2000,1.5867,1,0.43,0,0.124,1,-0.266,0
24/03/2000,1.5941,0,0.317,0,0.022,0,-0.354,0
27/03/2000,1.5882,1,0.453,1,0.165,1,-0.215,1
28/03/2000,1.5893,1,0.437,0,0.179,1,-0.222,0
29/03/2000,1.5936,1,0.445,1,0.188,1,-0.219,1
30/03/2000,1.5948,0,0.52,1,0.225,1,-0.199,1
31/03/2000,1.5911,1,0.518,0,0.232,1,-0.165,1
03/04/2000,1.5964,0,0.539,0,0.243,0,-0.166,0
04/04/2000,1.5932,0,0.681,1,0.384,1,-0.062,1
05/04/2000,1.5847,0,0.638,0,0.324,0,-0.121,0
06/04/2000,1.5815,0,0.578,0,0.288,0,-0.104,1
07/04/2000,1.5795,1,0.551,0,0.279,0,-0.084,1
10/04/2000,1.5855,1,0.671,1,0.422,1,0.033,1
11/04/2000,1.5856,1,0.556,0,0.276,0,-0.107,0
12/04/2000,1.5886,0,0.558,1,0.259,0,-0.137,0
13/04/2000,1.5866,1,0.543,0,0.291,1,-0.066,1
14/04/2000,1.5868,0,0.66,1,0.38,1,0.009,1
17/04/2000,1.5805,0,0.565,0,0.221,0,-0.154,0
18/04/2000,1.5771,1,0.557,0,0.21,0,-0.187,0
19/04/2000,1.582,0,0.591,1,0.273,1,-0.107,1
20/04/2000,1.5793,1,0.569,0,0.281,1,-0.101,1
25/04/2000,1.5812,0,0.464,0,0.179,0,-0.187,0
26/04/2000,1.5756,0,0.389,0,0.111,0,-0.231,0
27/04/2000,1.572,0,0.236,0,-0.075,0,-0.357,0
28/04/2000,1.5513,1,0.112,0,-0.175,0,-0.402,0
02/05/2000,1.5604,1,0.085,0,-0.224,0,-0.461,0
03/05/2000,1.5611,0,0.051,0,-0.312,0,-0.556,0
04/05/2000,1.5412,0,0.103,1,-0.266,1,-0.473,1
05/05/2000,1.5303,1,0.072,0,-0.321,0,-0.509,0
08/05/2000,1.5332,0,0.059,0,-0.386,0,-0.61,0
09/05/2000,1.5311,0,0.047,0,-0.396,0,-0.626,0
10/05/2000,1.5118,0,0.093,1,-0.239,1,-0.521,1
11/05/2000,1.5035,1,0.099,1,-0.14,1,-0.399,1
12/05/2000,1.5202,0,0.05,0,-0.239,0,-0.505,0
15/05/2000,1.5054,0,0.088,1,-0.209,1,-0.498,1
16/05/2000,1.4932,1,0.064,0,-0.227,0,-0.512,0
17/05/2000,1.4968,0,0.04,0,-0.201,1,-0.473,1
18/05/2000,1.4835,1,-0.022,0,-0.204,0,-0.463,1
19/05/2000,1.487,1,0.022,1,-0.146,1,-0.398,1
22/05/2000,1.4925,0,-0.009,0,-0.163,0,-0.425,0
23/05/2000,1.4769,0,0.079,1,-0.118,1,-0.393,1
24/05/2000,1.4753,0,0.028,0,-0.193,0,-0.474,0
25/05/2000,1.4702,1,0.11,1,-0.172,1,-0.482,0
26/05/2000,1.49,1,0.132,1,-0.169,1,-0.505,0
30/05/2000,1.4966,1,0.103,0,-0.188,0,-0.529,0
31/05/2000,1.5014,0,-0.663,1,-0.951,1,-1.297,1
01/06/2000,1.4944,1,-0.621,1,-0.914,1,-1.262,1
02/06/2000,1.5098,1,-0.62,1,-0.952,0,-1.313,0
05/06/2000,1.5196,1,-0.569,1,-0.885,1,-1.252,1
06/06/2000,1.5284,0,-0.562,1,-0.866,1,-1.211,1
07/06/2000,1.5224,0,-0.612,0,-0.899,0,-1.228,0
08/06/2000,1.5108,0,-0.574,1,-0.851,1,-1.162,1
09/06/2000,1.5096,1,-0.597,0,-0.888,0,-1.208,0
12/06/2000,1.5131,0,-0.55,1,-0.841,1,-1.163,1
13/06/2000,1.5068,0,-0.541,1,-0.864,0,-1.218,0
14/06/2000,1.499,1,-0.55,0,-0.784,1,-1.113,1
15/06/2000,1.5121,1,-0.589,0,-0.813,0,-1.086,1
16/06/2000,1.5153,0,-0.56,1,-0.805,1,-1.115,0
19/06/2000,1.5116,1,-0.615,0,-0.838,0,-1.121,0
20/06/2000,1.5186,0,-0.642,0,-0.827,1,-1.093,1
21/06/2000,1.4986,1,-0.645,0,-0.849,0,-1.08,1
22/06/2000,1.5126,0,-0.64,1,-0.851,0,-1.084,0
23/06/2000,1.5011,0,-0.664,0,-0.881,0,-1.119,0
26/06/2000,1.4969,1,-0.613,1,-0.785,1,-1.068,1
27/06/2000,1.5073,1,-0.633,0,-0.77,1,-1.047,1
28/06/2000,1.5131,1,-0.6,1,-0.762,1,-1.077,0
29/06/2000,1.5188,0,-0.554,1,-0.763,0,-1.06,1
30/06/2000,1.5141,0,0.04,0,-0.159,1,-0.46,0
03/07/2000,1.5135,0,0.114,0,-0.072,0,-0.384,0
05/07/2000,1.5074,0,0.034,0,-0.142,0,-0.457,0
06/07/2000,1.5073,1,0.026,0,-0.142,0,-0.457,0
07/07/2000,1.5139,0,0.033,1,-0.148,0,-0.484,0
10/07/2000,1.513,1,0.037,1,-0.13,1,-0.458,1
11/07/2000,1.5172,0,0.048,1,-0.15,0,-0.496,0
12/07/2000,1.5064,0,-0.002,0,-0.206,0,-0.534,0
13/07/2000,1.5034,0,0.047,1,-0.157,1,-0.446,1
14/07/2000,1.5006,0,-0.05,0,-0.218,0,-0.449,0
17/07/2000,1.4948,1,-0.082,0,-0.246,0,-0.487,0
18/07/2000,1.4977,1,-0.049,1,-0.225,1,-0.498,0
19/07/2000,1.4982,1,-0.066,0,-0.249,0,-0.545,0
20/07/2000,1.5116,1,0.112,1,-0.031,1,-0.408,1
21/07/2000,1.517,0,0.107,0,-0.055,0,-0.452,0
24/07/2000,1.5153,1,0.113,1,-0.066,0,-0.479,0
25/07/2000,1.5166,0,0.09,0,-0.089,0,-0.485,0
26/07/2000,1.5155,0,0.05,0,-0.103,0,-0.501,0
27/07/2000,1.5141,0,0.113,1,-0.072,1,-0.465,1
28/07/2000,1.5027,0,0.156,1,-0.009,1,-0.411,1
31/07/2000,1.4997,0,0.447,0,0.274,0,-0.109,1
01/08/2000,1.492,1,0.514,1,0.322,1,-0.09,1
02/08/2000,1.4957,1,0.54,1,0.35,1,-0.058,1
03/08/2000,1.4977,1,0.501,0,0.327,0,-0.041,1
04/08/2000,1.5065,1,0.578,1,0.396,1,0.043,1
07/08/2000,1.5136,0,0.519,0,0.321,0,-0.036,0
08/08/2000,1.505,0,0.537,1,0.363,1,-0.007,1
09/08/2000,1.502,0,0.512,0,0.35,0,0.001,1
10/08/2000,1.4976,1,0.516,1,0.391,1,0.166,1
11/08/2000,1.5015,1,0.45,0,0.308,0,0.091,0
14/08/2000,1.5055,0,0.508,1,0.356,1,0.168,1
15/08/2000,1.5043,0,0.46,0,0.34,0,0.18,1
16/08/2000,1.5005,0,0.478,1,0.319,0,0.145,0
17/08/2000,1.4977,0,0.486,1,0.346,1,0.187,1
18/08/2000,1.4895,0,0.489,1,0.368,1,0.204,1
21/08/2000,1.4872,0,0.468,0,0.395,1,0.242,1
22/08/2000,1.4816,1,0.488,1,0.414,1,0.247,1
23/08/2000,1.4873,0,0.515,1,0.455,1,0.265,1
24/08/2000,1.4813,0,0.514,0,0.435,0,0.233,0
25/08/2000,1.4692,0,0.514,0,0.439,1,0.237,1
29/08/2000,1.4561,1,0.5,0,0.401,0,0.214,0
30/08/2000,1.4598,0,0.528,1,0.406,1,0.231,1
31/08/2000,1.4473,1,-0.101,1,-0.201,1,-0.388,1
01/09/2000,1.4642,0,-0.052,0,-0.207,0,-0.439,0
05/09/2000,1.4548,0,-0.056,0,-0.181,1,-0.414,1
06/09/2000,1.4367,1,-0.108,0,-0.213,0,-0.44,0
07/09/2000,1.438,0,-0.175,0,-0.261,0,-0.489,0
08/09/2000,1.4151,0,-0.117,1,-0.203,1,-0.414,1
11/09/2000,1.4024,1,-0.138,0,-0.229,0,-0.435,0
12/09/2000,1.4066,1,-0.125,1,-0.178,1,-0.373,1
13/09/2000,1.4094,0,-0.09,1,-0.125,1,-0.324,1
14/09/2000,1.4074,0,-0.126,0,-0.166,0,-0.447,0
15/09/2000,1.3977,1,-0.088,1,-0.119,1,-0.464,0
18/09/2000,1.4063,1,-0.069,1,-0.117,1,-0.486,0
19/09/2000,1.4091,1,-0.141,0,-0.162,0,-0.495,0
20/09/2000,1.4105,1,-0.161,0,-0.189,0,-0.539,0
21/09/2000,1.4375,1,-0.109,1,-0.141,1,-0.496,1
22/09/2000,1.4537,0,-0.203,0,-0.236,0,-0.567,0
25/09/2000,1.4526,1,-0.168,1,-0.179,1,-0.498,1
26/09/2000,1.4638,1,-0.136,1,-0.137,1,-0.472,1
27/09/2000,1.4645,0,-0.132,1,-0.139,0,-0.504,0
28/09/2000,1.4623,1,-0.096,1,-0.154,0,-0.511,0
29/09/2000,1.4754,0,-0.131,0,-0.241,0,-0.607,0
02/10/2000,1.4662,0,-0.118,1,-0.23,1,-0.626,0
03/10/2000,1.4596,1,-0.131,0,-0.27,0,-0.664,0
04/10/2000,1.4597,0,-0.138,0,-0.295,0,-0.673,0
05/10/2000,1.4439,1,-0.131,1,-0.272,1,-0.634,1
06/10/2000,1.4459,1,-0.088,1,-0.3,0,-0.611,1
10/10/2000,1.4546,1,-0.045,1,-0.253,1,-0.647,0
11/10/2000,1.4628,1,-0.073,0,-0.269,0,-0.677,0
12/10/2000,1.4714,0,-0.001,1,-0.183,1,-0.634,1
13/10/2000,1.4498,0,-0.065,0,-0.226,0,-0.633,1
16/10/2000,1.4477,1,-0.074,0,-0.235,0,-0.637,0
17/10/2000,1.4503,0,-0.02,1,-0.153,1,-0.56,1
18/10/2000,1.4436,1,-0.066,0,-0.163,0,-0.572,0
19/10/2000,1.4464,1,-0.079,0,-0.158,1,-0.537,1
20/10/2000,1.4512,1,-0.063,1,-0.151,1,-0.511,1
23/10/2000,1.4537,0,-0.045,1,-0.109,1,-0.45,1
24/10/2000,1.45,0,-0.074,0,-0.136,0,-0.476,0
25/10/2000,1.432,1,-0.147,0,-0.192,0,-0.537,0
26/10/2000,1.4364,1,-0.158,0,-0.203,0,-0.538,0
27/10/2000,1.455,0,-0.151,1,-0.198,1,-0.52,1
30/10/2000,1.4493,0,-0.176,0,-0.242,0,-0.555,0
31/10/2000,1.4477,1,0.071,1,-0.04,1,-0.39,0
01/11/2000,1.4516,0,0.075,0,-0.024,0,-0.379,0
02/11/2000,1.4433,1,0.054,0,-0.045,0,-0.389,0
03/11/2000,1.4485,0,-0.013,0,-0.133,0,-0.487,0
06/11/2000,1.4271,1,-0.052,0,-0.167,0,-0.51,0
07/11/2000,1.4333,0,-0.067,0,-0.163,1,-0.498,1
08/11/2000,1.4232,1,-0.048,1,-0.077,1,-0.484,1
09/11/2000,1.4333,0,-0.056,0,-0.054,1,-0.47,1
10/11/2000,1.4254,1,-0.007,1,-0.024,1,-0.451,1
13/11/2000,1.4379,0,-0.022,0,-0.042,0,-0.47,0
14/11/2000,1.4307,0,-0.067,0,-0.049,0,-0.441,1
15/11/2000,1.4269,0,-0.093,0,-0.063,0,-0.41,1
16/11/2000,1.4255,0,-0.095,0,-0.033,1,-0.399,1
17/11/2000,1.4227,1,-0.101,0,-0.047,0,-0.42,0
20/11/2000,1.424,0,-0.091,1,-0.02,1,-0.388,1
21/11/2000,1.418,0,-0.064,1,-0.006,1,-0.385,1
22/11/2000,1.4072,0,-0.087,0,-0.067,0,-0.452,0
24/11/2000,1.3994,1,-0.113,0,-0.087,0,-0.485,0
27/11/2000,1.4176,1,-0.097,1,-0.106,0,-0.526,0
28/11/2000,1.4178,1,-0.057,1,-0.056,1,-0.493,1
29/11/2000,1.4222,1,0.059,1,0.026,1,-0.411,1
30/11/2000,1.4251,1,-0.235,1,-0.26,1,-0.687,1
01/12/2000,1.4423,1,-0.223,1,-0.282,1,-0.733,1
04/12/2000,1.4516,0,-0.247,0,-0.324,0,-0.801,0
05/12/2000,1.4321,1,-0.11,1,-0.18,1,-0.659,1
06/12/2000,1.4439,1,-0.118,0,-0.133,1,-0.577,1
07/12/2000,1.4448,1,-0.149,0,-0.144,0,-0.546,1
08/12/2000,1.4518,1,-0.135,1,-0.092,1,-0.486,1
11/12/2000,1.4568,0,-0.22,0,-0.172,0,-0.55,0
12/12/2000,1.4486,1,-0.216,1,-0.149,1,-0.505,1
13/12/2000,1.4561,1,-0.144,1,-0.081,1,-0.462,1
14/12/2000,1.4733,1,-0.097,1,0.002,1,-0.385,1
15/12/2000,1.4757,1,-0.016,1,0.033,1,-0.386,0
18/12/2000,1.4758,0,0.02,1,0.078,1,-0.376,1
19/12/2000,1.4694,1,0.009,0,0.098,1,-0.356,1
20/12/2000,1.4762,0,0.041,1,0.161,1,-0.219,1
21/12/2000,1.4735,1,0.036,0,0.174,1,-0.18,1
22/12/2000,1.4765,1,0.117,1,0.211,1,-0.175,1
27/12/2000,1.4965,0,0.01,0,0.094,0,-0.304,0
28/12/2000,1.4932,0,0.032,1,0.062,0,-0.311,0
29/12/2000,1.493,1,0.083,1,0.091,1,-0.331,0
02/01/2001,1.5026,0,0.268,1,0.227,1,-0.23,1
03/01/2001,1.4894,1,0.192,0,-0.009,0,-0.53,0
04/01/2001,1.5009,1,0.324,1,0.166,1,-0.352,1
05/01/2001,1.5038,0,0.531,1,0.346,1,-0.235,1
08/01/2001,1.496,0,0.519,0,0.334,0,-0.253,0
09/01/2001,1.4884,0,0.464,0,0.318,0,-0.237,1
10/01/2001,1.4867,1,0.37,0,0.221,0,-0.354,0
11/01/2001,1.4988,0,0.414,1,0.253,1,-0.361,0
12/01/2001,1.4786,0,0.295,0,0.16,0,-0.425,0
16/01/2001,1.472,1,0.263,0,0.161,1,-0.383,1
17/01/2001,1.4734,0,0.358,1,0.257,1,-0.325,1
18/01/2001,1.4727,0,0.407,1,0.33,1,-0.284,1
19/01/2001,1.4628,1,0.414,1,0.267,0,-0.336,0
22/01/2001,1.4654,1,0.424,1,0.255,0,-0.351,0
23/01/2001,1.4687,0,0.351,0,0.177,0,-0.415,0
24/01/2001,1.4546,1,0.365,1,0.189,1,-0.445,0
25/01/2001,1.4592,0,0.455,1,0.247,1,-0.396,1
26/01/2001,1.4554,1,0.397,0,0.171,0,-0.47,0
29/01/2001,1.4581,1,0.394,0,0.12,0,-0.502,0
30/01/2001,1.4625,1,0.435,1,0.158,1,-0.428,1
31/01/2001,1.4646,1,2.107,1,1.82,1,1.222,1
01/02/2001,1.4776,0,2.153,0,1.847,0,1.262,0
02/02/2001,1.4707,1,2.124,0,1.786,0,1.206,0
05/02/2001,1.4741,0,2.077,0,1.755,0,1.181,0
06/02/2001,1.4598,0,2.056,0,1.744,0,1.162,0
07/02/2001,1.4517,0,2.019,0,1.684,0,1.126,0
08/02/2001,1.4445,1,2.046,1,1.754,1,1.281,1
09/02/2001,1.4446,1,2.107,1,1.775,1,1.309,1
12/02/2001,1.4525,0,2.067,0,1.744,0,1.302,0
13/02/2001,1.4523,1,1.989,0,1.7,0,1.28,0
14/02/2001,1.4545,0,1.893,0,1.617,0,1.253,0
15/02/2001,1.4488,0,1.96,1,1.687,1,1.288,1
16/02/2001,1.4483,0,2.059,1,1.788,1,1.338,1
20/02/2001,1.4468,0,2.014,0,1.726,0,1.338,0
21/02/2001,1.4423,1,2.041,1,1.725,0,1.322,0
22/02/2001,1.4465,1,2.119,1,1.753,1,1.329,1
23/02/2001,1.455,0,2.176,1,1.797,1,1.381,1
26/02/2001,1.4448,0,2.227,1,1.857,1,1.443,1
27/02/2001,1.4442,1,2.185,0,1.87,1,1.452,1
28/02/2001,1.4455,1,0.844,1,0.521,1,0.002,0
01/03/2001,1.4555,1,0.827,0,0.501,0,-0.035,0
02/03/2001,1.4681,0,0.796,0,0.449,0,-0.108,0
05/03/2001,1.4667,0,0.803,1,0.443,0,-0.115,0
06/03/2001,1.4666,0,0.826,1,0.455,1,-0.114,1
07/03/2001,1.4616,1,0.886,1,0.528,1,-0.028,1
08/03/2001,1.4695,1,0.845,0,0.473,0,-0.033,0
09/03/2001,1.4698,0,0.776,0,0.415,0,-0.064,0
12/03/2001,1.465,0,0.812,1,0.453,1,-0.033,1
13/03/2001,1.45,0,0.77,0,0.433,0,-0.064,0
14/03/2001,1.4457,0,0.857,1,0.486,1,-0.041,1
15/03/2001,1.4355,0,0.862,1,0.489,1,-0.054,0
16/03/2001,1.4318,0,0.801,0,0.433,0,-0.108,0
19/03/2001,1.4245,1,0.733,0,0.367,0,-0.157,0
20/03/2001,1.4358,0,0.872,1,0.503,1,-0.063,1
21/03/2001,1.4312,0,0.84,0,0.474,0,-0.074,0
22/03/2001,1.4216,1,0.804,0,0.391,0,-0.117,0
23/03/2001,1.425,1,0.707,0,0.351,0,-0.125,0
26/03/2001,1.435,0,0.737,1,0.359,1,-0.138,0
27/03/2001,1.4346,1,0.62,0,0.255,0,-0.225,0
28/03/2001,1.438,0,0.724,1,0.341,1,-0.183,1
29/03/2001,1.4263,0,0.798,1,0.357,1,-0.141,1
30/03/2001,1.4161,1,0.885,1,0.45,1,-0.033,1
02/04/2001,1.4187,1,0.819,0,0.36,0,-0.083,0
03/04/2001,1.433,1,0.894,1,0.409,1,-0.063,1
04/04/2001,1.4331,0,0.915,1,0.458,1,-0.003,1
05/04/2001,1.4275,1,0.843,0,0.417,0,-0.059,0
06/04/2001,1.44,1,0.896,1,0.461,1,-0.04,1
09/04/2001,1.4445,0,0.868,0,0.433,0,-0.078,0
10/04/2001,1.4324,1,0.789,0,0.352,0,-0.193,0
11/04/2001,1.4366,1,0.823,1,0.408,1,-0.135,1
12/04/2001,1.4395,0,0.784,0,0.389,0,-0.124,1
17/04/2001,1.4323,0,0.716,0,0.33,0,-0.15,0
18/04/2001,1.4278,1,0.899,1,0.515,1,0.008,1
19/04/2001,1.4467,0,0.796,0,0.369,0,-0.106,0
20/04/2001,1.4412,0,0.867,1,0.4,1,-0.122,0
23/04/2001,1.4372,0,0.915,1,0.469,1,-0.059,1
24/04/2001,1.4342,1,0.914,0,0.462,0,-0.09,0
25/04/2001,1.4412,1,0.813,0,0.418,0,-0.109,0
26/04/2001,1.4418,0,0.845,1,0.451,1,-0.095,1
27/04/2001,1.4367,0,0.774,0,0.35,0,-0.17,0
30/04/2001,1.432,1,0.517,1,0.089,1,-0.42,1
01/05/2001,1.4345,0,0.55,0,0.1,0,-0.4,0
02/05/2001,1.4341,1,0.537,0,0.067,0,-0.431,0
03/05/2001,1.4356,1,0.544,1,0.112,1,-0.372,1
04/05/2001,1.4393,0,0.566,1,0.088,0,-0.41,0
08/05/2001,1.4264,0,0.573,1,0.083,0,-0.458,0
09/05/2001,1.4219,1,0.617,1,0.165,1,-0.417,1
10/05/2001,1.4221,0,0.558,0,0.072,0,-0.51,0
11/05/2001,1.419,1,0.462,0,-0.018,0,-0.61,0
14/05/2001,1.42,1,0.532,1,0.045,1,-0.52,1
15/05/2001,1.4245,1,0.589,1,0.017,0,-0.611,0
16/05/2001,1.4308,1,0.703,1,0.038,1,-0.619,0
17/05/2001,1.432,1,0.659,0,0.038,0,-0.569,1
18/05/2001,1.4395,1,0.568,0,0.064,1,-0.489,1
21/05/2001,1.4403,0,0.609,1,0.098,1,-0.447,1
22/05/2001,1.4275,0,0.591,0,0.09,0,-0.478,0
23/05/2001,1.4193,0,0.636,1,0.148,1,-0.421,1
24/05/2001,1.408,1,0.593,0,0.1,0,-0.491,0
25/05/2001,1.4225,1,0.674,1,0.148,1,-0.469,1
29/05/2001,1.4233,1,0.775,1,0.089,0,-0.503,0
30/05/2001,1.4261,0,0.773,0,0.09,1,-0.495,1
31/05/2001,1.4184,0,0.779,1,0.116,1,-0.455,1
01/06/2001,1.4184,0,0.679,0,0.016,0,-0.526,0
04/06/2001,1.4143,0,0.704,1,0.028,1,-0.493,1
05/06/2001,1.4138,0,0.79,1,0.11,1,-0.481,1
06/06/2001,1.3926,1,0.785,0,0.118,1,-0.462,1
07/06/2001,1.3927,0,0.778,0,0.068,0,-0.488,0
08/06/2001,1.3784,0,0.748,0,0.025,0,-0.495,0
11/06/2001,1.3727,1,0.829,1,0.086,1,-0.451,1
12/06/2001,1.3746,1,1.047,1,0.279,1,-0.329,1
13/06/2001,1.392,1,1.113,1,0.342,1,-0.321,1
14/06/2001,1.4014,1,1.116,1,0.365,1,-0.345,0
15/06/2001,1.4031,1,1.124,1,0.371,1,-0.367,0
18/06/2001,1.4047,0,1.103,0,0.356,0,-0.389,0
19/06/2001,1.4013,0,1.148,1,0.394,1,-0.359,1
20/06/2001,1.3957,1,1.188,1,0.44,1,-0.313,1
21/06/2001,1.4154,0,1.166,0,0.472,1,-0.248,1
22/06/2001,1.4132,0,1.155,0,0.462,0,-0.267,0
25/06/2001,1.413,1,1.092,0,0.415,0,-0.311,0
26/06/2001,1.4152,1,0.996,0,0.33,0,-0.362,0
27/06/2001,1.4173,0,0.93,0,0.29,0,-0.383,0
28/06/2001,1.4088,1,0.934,1,0.277,0,-0.395,0
29/06/2001,1.4153,1,0.954,1,0.238,0,-0.423,0
02/07/2001,1.4176,0,0.998,1,0.348,1,-0.32,1
03/07/2001,1.4074,0,0.936,0,0.303,0,-0.367,0
05/07/2001,1.4028,1,0.91,0,0.282,0,-0.402,0
06/07/2001,1.4118,0,0.899,0,0.21,0,-0.497,0
09/07/2001,1.4085,1,0.927,1,0.27,1,-0.423,1
10/07/2001,1.412,0,1.014,1,0.298,1,-0.395,1
11/07/2001,1.4078,0,0.883,0,0.176,0,-0.495,0
12/07/2001,1.4076,0,0.947,1,0.251,1,-0.412,1
13/07/2001,1.4037,0,0.935,0,0.273,1,-0.363,1
16/07/2001,1.3995,1,0.961,1,0.312,1,-0.339,1
17/07/2001,1.4012,1,0.948,0,0.284,0,-0.371,0
18/07/2001,1.4215,1,1.103,1,0.39,1,-0.286,1
19/07/2001,1.4283,0,1.137,1,0.419,1,-0.275,1
20/07/2001,1.4277,0,1.079,0,0.345,0,-0.358,0
23/07/2001,1.4202,1,1.059,0,0.351,1,-0.337,1
24/07/2001,1.4211,1,1.049,0,0.349,0,-0.342,0
25/07/2001,1.4283,0,1.008,0,0.287,0,-0.398,0
26/07/2001,1.4278,0,1.043,1,0.349,1,-0.354,1
27/07/2001,1.4236,1,1.047,1,0.352,1,-0.352,1
30/07/2001,1.4262,0,1.046,0,0.365,1,-0.335,1
31/07/2001,1.4252,1,1.871,1,1.177,1,0.456,0
01/08/2001,1.4339,0,1.895,0,1.183,0,0.474,0
02/08/2001,1.4315,0,1.726,0,1.084,0,0.434,0
03/08/2001,1.4293,0,1.671,0,1.018,0,0.396,0
06/08/2001,1.4183,0,1.671,0,0.999,0,0.363,0
07/08/2001,1.416,1,1.673,1,0.984,0,0.33,0
08/08/2001,1.417,1,1.795,1,1.058,1,0.389,1
09/08/2001,1.4254,0,1.708,0,0.945,0,0.339,0
10/08/2001,1.4232,0,1.703,0,0.964,1,0.363,1
13/08/2001,1.4193,1,1.694,0,0.967,1,0.36,0
14/08/2001,1.4289,1,1.711,1,1.022,1,0.43,1
15/08/2001,1.4409,1,1.786,1,1.063,1,0.439,1
16/08/2001,1.4444,1,1.853,1,1.108,1,0.463,1
17/08/2001,1.4451,0,1.848,0,1.122,1,0.49,1
20/08/2001,1.4438,1,1.804,0,1.098,0,0.453,0
21/08/2001,1.4552,0,1.87,1,1.176,1,0.507,1
22/08/2001,1.4488,0,1.826,0,1.139,0,0.503,0
23/08/2001,1.4472,0,1.821,0,1.139,0,0.507,1
24/08/2001,1.443,1,1.764,0,1.129,0,0.497,0
28/08/2001,1.4533,0,1.809,1,1.13,1,0.499,1
29/08/2001,1.4513,1,1.82,1,1.182,1,0.569,1
30/08/2001,1.4576,0,1.801,0,1.118,0,0.503,0
31/08/2001,1.4539,0,0.867,0,0.239,1,-0.366,1
04/09/2001,1.4448,1,0.801,0,0.216,0,-0.343,1
05/09/2001,1.4575,0,0.829,1,0.232,1,-0.329,1
06/09/2001,1.4572,1,0.88,1,0.284,1,-0.277,1
07/09/2001,1.4616,0,0.929,1,0.315,1,-0.269,1
10/09/2001,1.4568,1,0.915,0,0.282,0,-0.309,0
11/09/2001,1.4763,0,0.803,0,0.317,1,-0.34,0
13/09/2001,1.4716,0,1.262,1,0.551,1,-0.123,1
